source_row_id,source_name,platform,record_type,text,brand,created_at,date,hour,weekday,time_slot,like_count,comment_count,share_count,view_count,engagement_total,engagement_rate,comment_depth,share_rate,sentiment_label,sentiment_score,risk_group,risk_keyword_flag,content_pillar,caption_length,is_phuc_long,rank_score
1925,facebook_posts_clean.csv,facebook,post,"⚽🇻🇳 Pha này nhờ cả nước ghi lại không về kể không ai tinnn! 

Việt Nam vào Chung Kết, Highlands khao ngay deal Trà Sen Vàng 😎",highlands,2026-01-20 14:22:59,2026-01-20,14.0,Tuesday,afternoon_14_18,19423,2502,160,,22085,,0.11328956305184515,,positive,1,none,False,di_san_chat_luong,125,False,22090.0
1051,facebook_posts_clean.csv,facebook,post,"🇻🇳🇻🇳🇻🇳 Nếu tối nay Việt Nam thắng, ngày mai Phúc Long khao luôn deal Mua 1 tặng 1 🇻🇳🇻🇳🇻🇳",phuc_long,2026-01-20 12:43:29,2026-01-20,12.0,Tuesday,lunch_11_14,19603,2171,206,,21980,,0.09877161055505004,,positive,1,app_payment_promotion,True,khuyen_mai_minigame,88,True,21985.0
269,tiktok_videos_clean.csv,tiktok,post,,katinat,2026-01-08 09:58:14,2026-01-08,9.0,Thursday,morning_6_11,15200,320,5885,482600.0,21405,0.04435350186489847,0.014949778089231487,0.012194363862411935,neutral,0,none,False,other,0,False,21887.6
581,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-04-03 20:19:29,2023-04-03,20.0,Monday,evening_18_22,4550,154,346,16600000.0,5050,0.0003042168674698795,0.030495049504950494,2.0843373493975904e-05,neutral,0,none,False,other,0,False,21650.0
86,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-10-20 14:37:51,2025-10-20,14.0,Monday,afternoon_14_18,4471,69,612,16200000.0,5152,0.0003180246913580247,0.013392857142857142,3.777777777777778e-05,neutral,0,none,False,other,0,False,21352.0
116,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-06-18 08:33:41,2025-06-18,8.0,Wednesday,morning_6_11,8052,118,827,12300000.0,8997,0.0007314634146341464,0.013115482938757363,6.723577235772358e-05,neutral,0,none,False,other,0,False,21297.0
559,tiktok_videos_clean.csv,tiktok,post,,highlands,2023-11-10 12:59:53,2023-11-10,12.0,Friday,lunch_11_14,5672,187,505,13900000.0,6364,0.00045784172661870505,0.029384035197988687,3.633093525179856e-05,neutral,0,none,False,other,0,False,20264.0
91,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-09-13 18:31:35,2025-09-13,18.0,Saturday,evening_18_22,7489,92,525,11200000.0,8106,0.00072375,0.011349617567234148,4.6875e-05,neutral,0,none,False,other,0,False,19306.0
536,tiktok_videos_clean.csv,tiktok,post,,highlands,2024-04-16 20:30:55,2024-04-16,20.0,Tuesday,evening_18_22,18000,99,242,916600.0,18341,0.0200098188959197,0.00539774276211766,0.0002640192013964652,neutral,0,none,False,other,0,False,19257.6
17,facebook_posts_clean.csv,facebook,post,"KATINAT CHÍNH THỨC RA MẮT BỘ SƯU TẬP LY 30/4 “DỆT GẤM VÓC TỰ HÀO” 🇻🇳

Hòa chung không khí kỷ niệm 51 năm Ngày Giải phóng miền Nam, thống nhất đất nước, KATINAT chính thức ra mắt Bộ Sưu Tập Ly “Dệt Gấm Vóc Tự Hào”, được lấy cảm hứng từ hình ảnh “Non Sông Liền Một Dải”, cùng niềm tự hào về nét đẹp văn hóa nổi bật của 3 miền Bắc – Trung – Nam, như những mảnh ghép tạo nên một dải gấm vóc rực rỡ tự hào! 

Mang sắc đỏ từ màu cờ Tổ quốc, Bộ Sưu Tập Ly 30/4 “Dệt Gấm Vóc Tự Hào” điểm xuyết với chiếc cover ôm trọn thân ly qua hình ảnh một dải khăn được dệt nên từ những họa tiết văn hóa nổi bật của mọi miền. Từ họa tiết Sen Tiên của Lụa Hà Đông, Thổ cẩm Mường, Cổ áo Nhật Bình, Khăn Rằn, đến nét mộc mạc, bình dị của những người phụ nữ miền Tây Nam Bộ trong những bộ Đồ Bông thân thương, gửi gắm trọn tình yêu quê hương đất nước.

🇻🇳 Bộ Sưu Tập Ly “Dệt Gấm Vóc Tự Hào” sẽ được phục vụ thay thế cho ly size L trên toàn hệ thống KATINAT từ 18.04.2026, với 02 phiên bản giới hạn cùng cover đặc biệt sẽ được phục vụ ngẫu nhiên. Mời Katies lên lịch ghé KATINAT để sở hữu chiếc ly mang đậm nét tự hào và thưởng thức các phong vị độc đáo từ nông sản Việt nha!",katinat,2026-04-16 09:12:54,2026-04-16,9.0,Thursday,morning_6_11,17975,686,350,,19011,,0.0360843722055652,,positive,4,app_payment_promotion|taste_quality|service_store,True,khuyen_mai_minigame,1149,False,19031.0
148,tiktok_videos_clean.csv,tiktok,post,,highlands,2025-01-24 17:04:41,2025-01-24,17.0,Friday,afternoon_14_18,5745,68,1070,11400000.0,6883,0.0006037719298245614,0.00987941304663664,9.385964912280702e-05,neutral,0,none,False,other,0,False,18283.0
159,tiktok_videos_clean.csv,tiktok,post,,katinat,2026-04-17 10:07:08,2026-04-17,10.0,Friday,morning_6_11,17000,16,224,285200.0,17240,0.06044880785413745,0.0009280742459396752,0.0007854137447405329,neutral,0,none,False,other,0,False,17525.2
18,facebook_posts_clean.csv,facebook,post,"🐝HƯƠNG MẬT ĐỦ ĐẦY - CHỜ NGÀY ƯƠM SẮC ✨

Từ những đóa hoa rừng nồng nàn nắng mới, đến những giọt mật tinh khiết sánh đậm. 
Từ những tán cây xanh mướt, đến tép bưởi tươi thanh mát. 
Từ tinh túy đất mẹ, đến tinh nghệ sạch lành. 
Từ nắng gió đồng xa, đến sắc vàng óng ả của Nhụy hoa nghệ tây. 
Từ những đồi trà bạt ngàn, đến hương vị ngọt thơm của nền Hồng Trà Mật Ong.

Khu vườn Phúc Long mang tên “Hương Mật Ươm Sắc” đã sẵn sàng chiêu đãi Tâm Giao bằng sắc vị của thiên nhiên mang đến những món nước ngọt lành tốt cho sức khoẻ.

✨ Hồng Trà Bưởi Mật Ong: Thơm dậy vị, thanh mát. 
✨ Hồng Trà Sữa Yến Mạch Mật Ong: Béo bùi dịu nhẹ, đậm đà khó quên. 
✨ Cà Phê Curcumin Mật Ong: Dung hòa tinh tế, đậm vị bừng tỉnh. 

Các món sẽ được phục vụ với thạch Collagen Nhuỵ Hoa Nghệ Tây sần sật, vàng óng,  là món quà tuyệt vời cho cả làn da và sức khỏe.

Nhấp một ngụm để cảm nhận cả khu vườn hương sắc, để thiên nhiên vỗ về và đánh thức vẻ đẹp rạng rỡ của riêng bạn.

Khu vườn “Hương Mật Ươm Sắc” chờ đón Tâm Giao từ 04.03.2026!

#PhúcLong #HươngMậtƯơmSắc #BeauTEA #VẻĐẹpTừBênTrong",phuc_long,2026-03-01 11:00:50,2026-03-01,11.0,Sunday,lunch_11_14,16633,306,271,,17210,,0.01778036025566531,,positive,7,app_payment_promotion|taste_quality,True,di_san_chat_luong,1067,True,17245.0
