date,brand,platform,total_records,total_engagement,total_comments,total_shares,total_views,positive_count,neutral_count,negative_count,risk_count,net_sentiment_score
2023-10-01,highlands,,1,1.0,1.0,0.0,0.0,0,0,1,1,-1.0
2023-10-05,highlands,,1,1.0,1.0,0.0,0.0,1,0,0,0,1.0
2023-10-07,highlands,,3,2.0,2.0,0.0,0.0,0,3,0,2,0.0
2023-10-09,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-10-16,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-10-18,highlands,,2,1.0,1.0,0.0,0.0,0,2,0,0,0.0
2023-10-19,highlands,,2,1.0,1.0,0.0,0.0,1,1,0,0,0.5
2023-10-23,highlands,,2,2.0,2.0,0.0,0.0,2,0,0,0,1.0
2023-10-24,highlands,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-10-26,highlands,,3,3.0,3.0,0.0,0.0,1,2,0,0,0.3333333333333333
2023-10-27,highlands,,2,2.0,2.0,0.0,0.0,0,2,0,0,0.0
2023-11-03,highlands,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-11-04,highlands,,30,30.0,30.0,0.0,0.0,6,20,4,4,0.06666666666666667
2023-11-05,highlands,,26,26.0,26.0,0.0,0.0,7,17,2,4,0.19230769230769232
2023-11-06,highlands,,11,9.0,9.0,0.0,0.0,1,10,0,1,0.09090909090909091
2023-11-07,highlands,,5,5.0,5.0,0.0,0.0,4,1,0,2,0.8
2023-11-08,highlands,,4,4.0,4.0,0.0,0.0,1,2,1,1,0.0
2023-11-08,phuc_long,,1,0.0,0.0,0.0,0.0,0,1,0,0,0.0
2023-11-09,highlands,,4,4.0,4.0,0.0,0.0,1,3,0,0,0.25
2023-11-10,highlands,,18,17.0,17.0,0.0,0.0,6,11,1,1,0.2777777777777778
2023-11-10,phuc_long,,1,1.0,1.0,0.0,0.0,0,1,0,0,0.0
2023-11-11,highlands,,19,19.0,19.0,0.0,0.0,6,12,1,0,0.2631578947368421
2023-11-12,highlands,,14,14.0,14.0,0.0,0.0,4,10,0,1,0.2857142857142857
2023-11-13,highlands,,46,46.0,46.0,0.0,0.0,7,32,7,3,0.0
